City,PL,long,lat
Wroclaw,1,17.0385376,51.1078852
Warszawa,1,21.0122287,52.2296756
Poznan,1,16.9251681,52.406374
Krakow,1,19.9449799,50.06465009999999
Lodz,1,19.4559833,51.7592485
Gdynia,1,18.5305409,54.5188898
Gdansk,1,18.6466384,54.35202520000001
Szczecin,1,14.5528116,53.4285438
Bialystok,1,23.1688403,53.13248859999999
Bydgoszcz,1,18.0084378,53.12348040000001
Lublin,1,22.5684463,51.2464536
rynek - Walbrzych,1,16.2822264,50.7658524
Swidnica,1,16.475679,50.8498434
Lublin,1,22.5684463,51.2464536
Nowy Jork,0,-74.0059728,40.7127753
Downtown Core - Singapur,0,103.8535097,1.2866961
Paryz,0,2.3522219,48.856614
Londyn,0,-0.1277583,51.5073509
Rzym,0,12.4963655,41.9027835
Dzakarta,0,106.845599,-6.2087634
Lizbona,0,-9.1393366,38.7222524
Kuala Lumpur,0,101.686855,3.139003
Bangkok,0,100.5017651,13.7563309
Drezno,0,13.7372621,51.0504088
Berlin,0,13.404954,52.52000659999999
Barcelona,0,2.1734035,41.3850639
Wieden,0,16.3677854,48.19632670000001
Stambul,0,-80.19959779999999,25.8109075
Strasburg,0,-76.1841226,39.9831559
Amsterdam,0,4.8945398,52.3666969
Frankfurt,0,8.6821267,50.1109221
Madryt,0,-3.7037902,40.4167754
Chicago,0,-87.6297982,41.8781136
,,-84.389488,33.791638
1.,Warszawa,-95.9587634,36.1800366
2.,Kraków,-95.5847313,37.0927703
3.,Łódź,-95.9781785,36.7520389
4.,Wrocław,-96.06063909999999,36.9413193
5.,Poznań,-96.0262352,36.9885721
6.,Gdańsk,-95.934508,36.707347
7.,Szczecin,-94.57947759999999,39.0690016
8.,Bydgoszcz,-95.74170869999999,37.2260548
9.,Lublin,-95.49573,37.6778088
10.,Białystok,-92.442977,35.10709
